mDaughter1,obs,exp
3.7032,0.035433,0.042507
3.7555,0.034794,0.045717
3.8487,0.040987,0.050073
3.9031,0.044083,0.053855
3.9443,0.048283,0.056878
4.0,0.04917,0.061173
4.0423,0.047412,0.062297
4.0993,0.047412,0.064607
4.1572,0.053855,0.065793
4.2011,0.065793,0.067002
4.2455,0.072062,0.068233
4.3055,0.073386,0.070762
4.351,0.065793,0.073386
4.3969,0.056878,0.074734
4.4434,0.05288,0.076107
4.5061,0.053855,0.078928
4.6505,0.065793,0.081855
4.6996,0.068233,0.083358
4.7995,0.064607,0.0848
4.8502,0.067002,0.084889
5.0056,0.084889,0.088037
5.0941,0.089654,0.0896
5.2023,0.094686,0.089654
5.2573,0.094686,0.089654
5.3129,0.088037,0.089654
5.4448,0.063441,0.091301
5.5023,0.058986,0.091301
5.639,0.062297,0.092
5.779,0.056878,0.092978
5.9018,0.083358,0.094686
5.9642,0.11568,0.094686
6.0061,0.1267,0.096425
6.0484,0.13381,0.096425
6.0909,0.12902,0.096425
6.2203,0.096425,0.096425
6.3081,0.084889,0.098196
6.4196,0.083358,0.098196
6.4648,0.080378,0.1
6.6021,0.067002,0.1
6.6486,0.065793,0.1
6.7188,0.073386,0.10184
6.8137,0.10561,0.10371
6.9098,0.15199,0.10371
6.9829,0.16052,0.10561
7.1063,0.13381,0.10561
7.2066,0.10561,0.10561
7.3083,0.089654,0.10561
7.4115,0.081855,0.10561
7.5161,0.077505,0.10561
7.5955,0.076107,0.10561
7.7569,0.065793,0.10755
7.894,0.076107,0.10755
8.0054,0.098196,0.108
8.09,0.11154,0.10953
8.1469,0.11568,0.11
8.2909,0.11359,0.11154
8.408,0.14132,0.11359
8.4968,0.18909,0.11568
8.6168,0.23101,0.1178
8.7078,0.23958,0.11996
8.7998,0.20711,0.12217
8.8928,0.15763,0.1267
9.0184,0.11996,0.13139
9.05,0.11178,0.13627
9.1137,0.11996,0.14132
9.21,0.13627,0.16052
9.3073,0.16953,0.19257
9.4057,0.20711,0.23101
9.4718,0.21874,0.25767
9.6055,0.19611,0.27213
9.707,0.18909,0.26723
9.8096,0.24398,0.27713
9.9133,0.32646,0.29806
10.018,0.39883,0.33246
10.089,0.42122,0.33857
10.303,0.31479,0.27213
10.412,0.24398,0.23101
10.522,0.19971,0.20711
10.633,0.17265,0.18568
10.708,0.15763,0.17582
10.821,0.13627,0.16953
10.935,0.1267,0.16647
11.012,0.12441,0.16647
11.129,0.13139,0.16953
11.207,0.14656,0.17265
11.325,0.18909,0.17582
11.405,0.23526,0.17582
11.525,0.29269,0.17905
11.729,0.34479,0.18568
11.978,0.29806,0.19611
12.02,0.28222,0.19971
12.233,0.22275,0.20711
12.406,0.24846,0.21092
12.625,0.30354,0.21479
12.714,0.31479,0.21874
12.984,0.31479,0.23101
13.213,0.29269,0.23958
13.4,0.28741,0.24846
13.637,0.26241,0.25767
13.781,0.26241,0.26241
14.024,0.33857,0.27713
14.222,0.43683,0.29269
14.373,0.46135,0.29806
14.575,0.42122,0.31479
14.729,0.35757,0.32646
14.885,0.32646,0.33857
15.201,0.3575,0.35112
15.416,0.38457,0.35757
15.524,0.38457,0.35757
15.799,0.40616,0.36414
15.966,0.39164,0.37764
16.191,0.32646,0.37764
16.477,0.25302,0.38457
16.651,0.23526,0.39164
16.827,0.24846,0.39883
17.005,0.30911,0.40616
17.245,0.42895,0.41362
17.489,0.49619,0.42122
17.798,0.49619,0.43683
18.176,0.54347,0.45303
18.433,0.49619,0.46135
18.824,0.33857,0.47846
19.09,0.30911,0.49619
19.427,0.35757,0.51459
19.702,0.48724,0.53367
19.98,0.58458,0.55346
20.262,0.56362,0.55346
20.62,0.51459,0.55346
20.838,0.54347,0.56362
21.132,0.65197,0.57398
21.581,0.95551,0.57398
21.885,1.1256,0.57398
22.272,1.0091,0.58452
22.745,0.72721,0.58452
23.067,0.65197,0.59526
23.557,0.49619,0.59526
23.806,0.46983,0.59526
24.057,0.50531,0.60619
24.482,0.60619,0.60619
24.741,0.61732,0.61732
25.178,0.58452,0.61732
25.534,0.64021,0.62866
25.985,0.88842,0.62886
26.168,0.93828,0.64021
26.444,0.88842,0.64021
27.006,0.47846,0.65197
27.484,0.36414,0.66395
28.068,0.42895,0.67614
28.564,0.60619,0.67614
29.069,1.0277,0.70121
29.479,1.2106,0.70121
30.0,0.87239,0.71409
30.53,0.48724,0.72721
30.853,0.41362,0.72721
31.07,0.40616,0.72721
32.065,0.47846,0.74057
32.518,0.55346,0.75417
33.093,0.75417,0.75417
33.796,1.0091,0.76803
34.393,1.0091,0.78213
35.001,1.1673,0.7965
35.371,1.3751,0.7965
36.504,1.7422,0.82603
37.15,1.5338,0.82603
37.939,0.87239,0.8412
38.474,0.75417,0.85666
39.43,0.87239,0.87239
39.986,0.7965,0.88842
40.551,0.65197,0.85666
41.123,0.57398,0.92135
41.1997,0.71409,1.0277
43.04,1.0466,1.0854
44.419,1.68,1.2328
45.522,1.326,1.326
46.652,1.0854,1.4261
47.979,1.5338,1.5907
48.827,1.7422,1.7108
49.69,1.7108,1.8068
