mDaughter1,obs,exp
3.6,0.000545,0.00066
3.7,0.000575,0.000576
3.8,0.000565,0.000561
3.9,0.000467,0.000549
4.0,0.000457,0.000541
4.1,0.000799,0.000527
4.2,0.000792,0.000516
4.3,0.000856,0.000509
4.4,0.000759,0.000497
4.5,0.000539,0.000483
4.6,0.000711,0.000473
4.7,0.000399,0.000463
4.8,0.000391,0.000455
4.9,0.000411,0.000447
5.0,0.000565,0.000441
5.1,0.000378,0.000431
5.2,0.000403,0.000427
5.3,0.000475,0.000419
5.4,0.000523,0.000413
5.5,0.000628,0.000405
5.6,0.000908,0.000402
5.7,0.000419,0.000394
5.8,0.000352,0.00039
5.9,0.000396,0.000384
6.0,0.000377,0.000378
6.1,0.00039,0.000375
6.2,0.000375,0.000369
6.3,0.000613,0.00037
6.4,0.000578,0.000364
6.5,0.000286,0.00036
6.6,0.000278,0.000358
6.7,0.000288,0.000356
6.8,0.00036,0.000353
6.9,0.000292,0.000352
7.0,0.000303,0.000349
7.1,0.000344,0.000351
7.2,0.000319,0.000347
7.3,0.000303,0.000345
7.4,0.00035,0.000345
7.5,0.000344,0.000342
7.6,0.000333,0.000342
7.7,0.00033,0.00034
7.8,0.000334,0.00034
7.9,0.000293,0.000332
8.0,0.000332,0.000323
8.1,0.000392,0.000296
8.2,0.00021,0.000296
8.3,0.000197,0.000302
8.4,0.000211,0.000296
8.5,0.000221,0.000295
8.6,0.000231,0.0003
8.7,0.000196,0.000299
8.8,0.000194,0.000305
8.9,0.000515,0.000308
9.0,0.00027,0.000317
9.1,0.000251,0.000335
9.2,0.000326,0.000358
9.3,0.00048,0.000374
9.4,0.000617,0.000384
9.5,0.000678,0.000391
9.6,0.000671,0.000383
9.7,0.000631,0.00037
9.8,0.000475,0.000369
9.9,0.00038,0.000367
10.0,0.000333,0.000369
10.1,0.000313,0.000374
10.2,0.00034,0.000373
10.3,0.000385,0.000369
10.4,0.000459,0.000361
10.5,0.000517,0.000344
10.6,0.000564,0.000321
10.7,0.00059,0.00031
10.8,0.000594,0.000305
10.9,0.000596,0.000303
11.0,0.000592,0.000301
11.1,0.000505,0.000308
11.2,0.000461,0.000314
11.3,0.000439,0.000306
11.4,0.000436,0.000305
11.5,0.000442,0.000318
11.6,0.000377,0.000329
11.7,0.000362,0.000333
11.8,0.000351,0.000329
11.9,0.000333,0.000336
12.0,0.000324,0.000334
12.1,0.000307,0.000333
12.2,0.000285,0.000335
12.3,0.000261,0.000335
12.4,0.000277,0.000336
12.5,0.00028,0.000336
12.6,0.000247,0.000336
12.7,0.000217,0.000335
12.8,0.000276,0.000335
12.9,0.000305,0.000334
13.0,0.000332,0.000335
13.1,0.000364,0.000332
13.2,0.000362,0.000333
13.3,0.00037,0.00033
13.4,0.000401,0.000332
13.5,0.000414,0.000332
13.6,0.000409,0.000332
13.7,0.000364,0.000332
13.8,0.000371,0.000332
13.9,0.000359,0.000332
14.0,0.000361,0.000332
14.1,0.000335,0.000334
14.2,0.000314,0.00033
14.3,0.000302,0.000329
14.4,0.000268,0.000328
14.5,0.000276,0.000327
14.6,0.000268,0.000324
14.7,0.000298,0.000321
14.8,0.000277,0.000322
14.9,0.000288,0.000321
15.0,0.00028,0.00032
15.1,0.00027,0.000319
15.2,0.000265,0.000319
15.3,0.000264,0.000319
15.4,0.000247,0.000319
15.5,0.000242,0.000319
15.6,0.000256,0.00032
15.7,0.000249,0.00032
15.8,0.00025,0.00032
15.9,0.00025,0.00032
16.0,0.000253,0.00032
16.1,0.00026,0.00032
16.2,0.000259,0.00032
16.3,0.000285,0.000319
16.4,0.000305,0.000321
16.5,0.000326,0.000319
16.6,0.000343,0.000317
16.7,0.000342,0.000317
16.8,0.00036,0.000317
16.9,0.00037,0.000314
17.0,0.000375,0.000315
17.1,0.000381,0.000315
17.2,0.000383,0.000314
17.3,0.000382,0.000314
17.4,0.000349,0.000314
17.5,0.000325,0.000316
17.6,0.000296,0.000314
17.7,0.000274,0.000314
17.8,0.000259,0.000314
17.9,0.000256,0.000314
18.0,0.000224,0.000314
18.1,0.00024,0.000314
18.2,0.000249,0.000314
18.3,0.000242,0.000312
18.4,0.000243,0.000313
18.5,0.000253,0.000312
18.6,0.00029,0.000312
18.7,0.000297,0.000312
18.8,0.000316,0.000309
18.9,0.000344,0.00031
19.0,0.000369,0.000309
19.1,0.000376,0.000309
19.2,0.000356,0.000309
19.3,0.000342,0.000309
19.4,0.000328,0.00031
19.5,0.000315,0.000309
19.6,0.000308,0.000313
19.7,0.000319,0.00031
19.8,0.000327,0.000309
19.9,0.000414,0.000307
20.0,0.000474,0.000307
20.1,0.000562,0.000306
20.2,0.000574,0.000303
20.3,0.000604,0.000304
20.4,0.000608,0.000302
20.5,0.000599,0.0003
20.6,0.000587,0.000301
20.7,0.000596,0.000298
20.8,0.000609,0.000297
20.9,0.000642,0.000296
21.0,0.000673,0.000291
