m,obs,exp
200,0.07157288014736465,0.09168696892269296
205,0.07288014736466812,0.08838909026085923
210,0.062362588389090264,0.08509121159902548
215,0.053538534672291874,0.08176362231861667
220,0.047774674668726605,0.07846574365678294
225,0.06274882643056628,0.07534612870639966
230,0.09878780676213679,0.07252361994176718
235,0.07692079149087884,0.0697011111771347
240,0.052944322300790304,0.06684889179392715
245,0.06530393962802306,0.06402638302929466
250,0.06711628736110285,0.06132271673896251
255,0.08568542397052706,0.05915384158298176
260,0.08556658149622674,0.05701467704557609
265,0.054786380652445184,0.055172618693921205
270,0.04578406322419632,0.05338998157941648
275,0.04750727910155089,0.05160734446491176
280,0.034018658268465146,0.04985441796898211
285,0.027304058470497355,0.04830946580307802
290,0.03425634321706578,0.046764513637173925
295,0.036603482084497,0.04527898270841999
300,0.03912888466337869,0.04385287301681621
305,0.042040525283736405,0.04239705270663735
310,0.040525283736407396,0.04114920672648405
315,0.037405668786024124,0.03993107136490582
320,0.030126567235129836,0.038712936003327585
325,0.026323608057519758,0.037940459920375535
330,0.024303285994414402,0.03716798383742349
335,0.02061916929110464,0.03636579713589637
340,0.024689524035890427,0.03550418919721909
345,0.032087468061085034,0.03461287063996672
350,0.037791906827500145,0.03336502465981342
355,0.04631885435854774,0.03244399548398598
360,0.06043139818171014,0.03187949373105948
365,0.06542278210232337,0.0312852813595579
370,0.0636995662249688,0.03054251589518094
375,0.06161982292471328,0.029829461049379048
380,0.05939152653158239,0.02923524867787747
385,0.05160734446491176,0.028670746924950977
390,0.03853467229187711,0.02810624517202448
395,0.028403351357775268,0.027541743419097986
400,0.027036662903321646,0.02694753104759641
405,0.026145344346069285,0.026412739913244995
410,0.026115633727494206,0.025848238160318497
415,0.027393190326222592,0.025105472695941527
420,0.03428605383564085,0.02436270723156456
425,0.041357181056509595,0.023768494860062987
430,0.04412026858399192,0.023263414344286647
435,0.043288371263889715,0.022788044447085386
440,0.039812228890605504,0.022342385168459208
445,0.036187533424445896,0.021867015271257947
450,0.03288965476261216,0.021451066611206843
455,0.030096856616554753,0.02106482856973082
460,0.024956919603066133,0.020678590528254798
465,0.01684592073206964,0.020292352486778777
470,0.01432051815318795,0.01993582506387783
475,0.015865470319092044,0.019549587022401806
480,0.016519103927743778,0.019163348980925782
485,0.014706756194663972,0.018836532176599915
490,0.012240774852932438,0.018480004753698973
